date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:53:45	36740/36740	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2006:59:54%20GMT	https://templates.hibootstrap.com/sanu/default/index.html	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/index.html	(from )
15:53:45	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2009:53:42%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
15:53:45	232644/232644	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6d204-38cc4%22	https://templates.hibootstrap.com/sanu/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:46	2604/2604	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6d206-a34%22	https://templates.hibootstrap.com/sanu/default/assets/css/meanmenu.css	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/css/meanmenu.css	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:46	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6d208-d17%22	https://templates.hibootstrap.com/sanu/default/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/css/owl.carousel.min.css	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:46	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6d205-3f5%22	https://templates.hibootstrap.com/sanu/default/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/css/owl.theme.default.min.css	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:46	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6d204-1b27%22	https://templates.hibootstrap.com/sanu/default/assets/css/magnific-popup.css	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/css/magnific-popup.css	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:46	2678/2678	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6d209-c96%22	https://templates.hibootstrap.com/sanu/default/assets/css/flaticon.css	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/css/flaticon.css	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:46	104929/104929	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6d205-1d592%22	https://templates.hibootstrap.com/sanu/default/assets/css/remixicon.css	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/css/remixicon.css	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:47	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6d207-c2c%22	https://templates.hibootstrap.com/sanu/default/assets/css/odometer.min.css	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/css/odometer.min.css	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:47	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6d204-65c5%22	https://templates.hibootstrap.com/sanu/default/assets/css/aos.css	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/css/aos.css	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:47	87048/87048	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6d208-1a0e6%22	https://templates.hibootstrap.com/sanu/default/assets/css/style.css	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/css/style.css	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:48	16893/16893	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6d206-4ac7%22	https://templates.hibootstrap.com/sanu/default/assets/css/dark.css	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/css/dark.css	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:48	44558/44558	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6d207-e40c%22	https://templates.hibootstrap.com/sanu/default/assets/css/responsive.css	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/css/responsive.css	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:48	988/988	---M--	200	added ('OK')	image/png	etag:%2264f6d20f-3f9%22	https://templates.hibootstrap.com/sanu/default/assets/images/favicon.png	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/images/favicon.png	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:49	17885/17885	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2007:00:00%20GMT	https://templates.hibootstrap.com/sanu/default/graduate-admission.html	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/graduate-admission.html	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:49	17617/17617	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2006:59:53%20GMT	https://templates.hibootstrap.com/sanu/default/campus-life.html	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/campus-life.html	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:49	155/155	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2009:53:46%20GMT	https://templates.hibootstrap.com/sanu/default/admission.html	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/admission.html	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:50	18358/18358	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2007:00:01%20GMT	https://templates.hibootstrap.com/sanu/default/academics.html	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/academics.html	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:50	17287/17287	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2006:59:58%20GMT	https://templates.hibootstrap.com/sanu/default/alumni.html	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/alumni.html	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:53:50	1714/1714	---M--	200	added ('OK')	image/png	etag:%2264f6d210-6e1%22	https://templates.hibootstrap.com/sanu/default/assets/images/logo.png	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/images/logo.png	(from https://templates.hibootstrap.com/sanu/default/index.html)
